Name,Age
Mr. Owen Harris Braund,22
Mrs. John Bradley (Florence Briggs Thayer) Cumings,38
Miss. Laina Heikkinen,26
Mrs. Jacques Heath (Lily May Peel) Futrelle,35
Mr. William Henry Allen,35
Mr. James Moran,27
Mr. Timothy J McCarthy,54
Master. Gosta Leonard Palsson,2
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,27
Mrs. Nicholas (Adele Achem) Nasser,14
Miss. Marguerite Rut Sandstrom,4
Miss. Elizabeth Bonnell,58
Mr. William Henry Saundercock,20
Mr. Anders Johan Andersson,39
Miss. Hulda Amanda Adolfina Vestrom,14
Mrs. (Mary D Kingcome) Hewlett,55
Master. Eugene Rice,2
Mr. Charles Eugene Williams,23
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,31
Mrs. Fatima Masselmani,22
Mr. Joseph J Fynney,35
Mr. Lawrence Beesley,34
Miss. Anna McGowan,15
Mr. William Thompson Sloper,28
Miss. Torborg Danira Palsson,8
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,38
Mr. Farred Chehab Emir,26
Mr. Charles Alexander Fortune,19
Miss. Ellen O'Dwyer,24
Mr. Lalio Todoroff,23
Don. Manuel E Uruchurtu,40
Mrs. William Augustus (Marie Eugenie) Spencer,48
Miss. Mary Agatha Glynn,18
Mr. Edward H Wheadon,66
Mr. Edgar Joseph Meyer,28
Mr. Alexander Oskar Holverson,42
Mr. Hanna Mamee,18
Mr. Ernest Charles Cann,21
Miss. Augusta Maria Vander Planke,18
Miss. Jamila Nicola-Yarred,14
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,40
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,27
Miss. Simonne Marie Anne Andree Laroche,3
Miss. Margaret Delia Devaney,19
Mr. William John Rogers,30
Mr. Denis Lennon,20
Miss. Bridget O'Driscoll,27
Mr. Youssef Samaan,16
Mrs. Josef (Josefine Franchi) Arnold-Franchi,18
Master. Juha Niilo Panula,7
Mr. Richard Cater Nosworthy,21
Mrs. Henry Sleeper (Myna Haxtun) Harper,49
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,29
Mr. Engelhart Cornelius Ostby,65
Mr. Hugh Woolner,46
Miss. Emily Rugg,21
Mr. Mansouer Novel,28.5
Miss. Constance Mirium West,5
Master. William Frederick Goodwin,11
Mr. Orsen Sirayanian,22
Miss. Amelie Icard,38
Mr. Henry Birkhardt Harris,45
Master. Harald Skoog,4
Mr. Albert A Stewart,64
Master. Gerios Moubarek,7
Mrs. (Elizabeth Ramell) Nye,29
Mr. Ernest James Crease,19
Miss. Erna Alexandra Andersson,17
Mr. Vincenz Kink,26
Mr. Stephen Curnow Jenkin,32
Miss. Lillian Amy Goodwin,16
Mr. Ambrose Jr Hood,21
Mr. Apostolos Chronopoulos,26
Mr. Lee Bing,32
Mr. Sigurd Hansen Moen,25
Mr. Ivan Staneff,23
Mr. Rahamin Haim Moutal,28
Master. Alden Gates Caldwell,0.83
Miss. Elizabeth Dowdell,30
Mr. Achille Waelens,22
Mr. Jan Baptist Sheerlinck,29
Miss. Brigdet Delia McDermott,31
Mr. Francisco M Carrau,28
Miss. Bertha Ilett,17
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,33
Mr. William Neal Ford,16
Mr. Selman Francis Slocovski,20
Miss. Mabel Helen Fortune,23
Mr. Francesco Celotti,24
Mr. Emil Christmann,29
Mr. Paul Edvin Andreasson,20
Mr. Herbert Fuller Chaffee,46
Mr. Bertram Frank Dean,26
Mr. Daniel Coxon,59
Mr. Charles Joseph Shorney,22
Mr. George B Goldschmidt,71
Mr. William Bertram Greenfield,23
Mrs. John T (Ada Julia Bone) Doling,34
Mr. Sinai Kantor,34
Miss. Matilda Petranec,28
Mr. Pastcho Petroff,29
Mr. Richard Frasar White,21
Mr. Gustaf Joel Johansson,33
Mr. Anders Vilhelm Gustafsson,37
Mr. Stoytcho Mionoff,28
Miss. Anna Kristine Salkjelsvik,21
Mr. Albert Johan Moss,29
Mr. Tido Rekic,38
Miss. Bertha Moran,28
Mr. Walter Chamberlain Porter,47
Miss. Hileni Zabour,14.5
Mr. David John Barton,22
Miss. Katriina Jussila,20
Miss. Malake Attalah,17
Mr. Edvard Pekoniemi,21
Mr. Patrick Connors,70.5
Mr. William John Robert Turpin,29
Mr. Quigg Edmond Baxter,24
Miss. Ellis Anna Maria Andersson,2
Mr. Stanley George Hickman,21
Mr. Leonard Charles Moore,19
Mr. Nicholas Nasser,32.5
Miss. Susan Webber,32.5
Mr. Percival Wayland White,54
Master. Elias Nicola-Yarred,12
Mr. Martin McMahon,19
Mr. Fridtjof Arne Madsen,24
Miss. Anna Peter,2
Mr. Johan Ekstrom,45
Mr. Jozef Drazenoic,33
Mr. Domingos Fernandeo Coelho,20
Mrs. Alexander A (Grace Charity Laury) Robins,47
Mrs. Leopold (Mathilde Francoise Pede) Weisz,29
Mr. Samuel James Hayden Sobey,25
Mr. Emile Richard,23
Miss. Helen Monypeny Newsom,19
Mr. Jacques Heath Futrelle,37
Mr. Olaf Elon Osen,16
Mr. Victor Giglio,24
Mrs. Joseph (Sultana) Boulos,40
Miss. Anna Sofia Nysten,22
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,24
Mr. Jeremiah Burke,19
Mr. Edgardo Samuel Andrew,18
Mr. Joseph Charles Nicholls,19
Mr. August Edvard Andersson,27
Miss. Robina Maggie Ford,9
Mr. Michel Navratil,36.5
Rev. Thomas Roussel Davids Byles,42
Rev. Robert James Bateman,51
Mrs. Thomas (Edith Wearne) Pears,22
Mr. Alfonzo Meo,55.5
Mr. Austin Blyler van Billiard,40.5
Mr. Ole Martin Olsen,27
Mr. Charles Duane Williams,51
Miss. Katherine Gilnagh,16
Mr. Harry Corn,30
Mr. Mile Smiljanic,37
Master. Thomas Henry Sage,5
Mr. John Hatfield Cribb,44
Mrs. James (Elizabeth Inglis Milne) Watt,40
Mr. John Viktor Bengtsson,26
Mr. Jovo Calic,17
Master. Eino Viljami Panula,1
Master. Frank John William Goldsmith,9
Mrs. (Edith Martha Bowerman) Chibnall,48
Mrs. William (Anna Bernhardina Karlsson) Skoog,45
Mr. John D Baumann,60
Mr. Lee Ling,28
Mr. Wyckoff Van der hoef,61
Master. Arthur Rice,4
Miss. Eleanor Ileen Johnson,1
Mr. Antti Wilhelm Sivola,21
Mr. James Clinch Smith,56
Mr. Klas Albin Klasen,18
Master. Henry Forbes Lefebre,5
Miss. Ann Elizabeth Isham,50
Mr. Reginald Hale,30
Mr. Lionel Leonard,36
Miss. Constance Gladys Sage,8
Mr. Rene Pernot,39
Master. Clarence Gustaf Hugo Asplund,9
Master. Richard F Becker,1
Miss. Luise Gretchen Kink-Heilmann,4
Mr. Hugh Roscoe Rood,39
Mrs. Thomas (Johanna Godfrey) O'Brien,26
Mr. Charles Hallace Romaine,45
Mr. John Bourke,40
Mr. Stjepan Turcin,36
Mrs. (Rosa) Pinsky,32
Mr. William Carbines,19
Miss. Carla Christine Nielsine Andersen-Jensen,19
Master. Michel M Navratil,3
Mrs. James Joseph (Margaret Tobin) Brown,44
Miss. Elise Lurette,58
Mr. Robert Mernagh,28
Mr. Karl Siegwart Andreas Olsen,42
Miss. Margaret Madigan,21
Miss. Henriette Yrois,24
Mr. Nestor Cyriel Vande Walle,28
Mr. Frederick Sage,17
Mr. Jakob Alfred Johanson,34
Mr. Gerious Youseff,45.5
Mr. Gurshon Cohen,18
Miss. Telma Matilda Strom,2
Mr. Karl Alfred Backstrom,32
Mr. Nassef Cassem Albimona,26
Miss. Helen Carr,16
Mr. Henry Blank,40
Mr. Ahmed Ali,24
Miss. Clear Annie Cameron,35
Mr. John Henry Perkin,22
Mr. Hans Kristensen Givard,30
Mr. Philip Kiernan,22
Miss. Madeleine Newell,31
Miss. Eliina Honkanen,27
Mr. Sidney Samuel Jacobsohn,42
Miss. Albina Bazzani,32
Mr. Walter Harris,30
Mr. Victor Francis Sunderland,16
Mr. James H Bracken,27
Mr. George Henry Green,51
Mr. Christo Nenkoff,22
Mr. Frederick Maxfield Hoyt,38
Mr. Karl Ivar Sven Berglund,22
Mr. William John Mellors,19
Mr. John Hall Lovell,20.5
Mr. Arne Jonas Fahlstrom,18
Miss. Mathilde Lefebre,12
Mrs. Henry Birkhardt (Irene Wallach) Harris,35
Mr. Bengt Edvin Larsson,29
Mr. Ernst Adolf Sjostedt,59
Miss. Lillian Gertrud Asplund,5
Mr. Robert William Norman Leyson,24
Miss. Alice Phoebe Harknett,21
Mr. Stephen Hold,44
Miss. Marjorie Collyer,8
Mr. Frederick William Pengelly,19
Mr. George Henry Hunt,33
Miss. Thamine Zabour,19
Miss. Katherine Murphy,18
Mr. Reginald Charles Coleridge,29
Mr. Matti Alexanteri Maenpaa,22
Mr. Sleiman Attalah,30
Dr. William Edward Minahan,44
Miss. Agda Thorilda Viktoria Lindahl,25
Mrs. William (Anna) Hamalainen,24
Mr. Richard Leonard Beckwith,37
Rev. Ernest Courtenay Carter,54
Mr. James George Reed,18
Mrs. Wilhelm (Elna Matilda Persson) Strom,29
Mr. William Thomas Stead,62
Mr. William Arthur Lobb,30
Mrs. Viktor (Helena Wilhelmina) Rosblom,41
Mrs. Darwis (Hanne Youssef Razi) Touma,29
Mrs. Gertrude Maybelle Thorne,38
Miss. Gladys Cherry,30
Miss. Anna Ward,35
Mrs. (Lutie Davis) Parrish,50
Master. Edvin Rojj Felix Asplund,3
Mr. Emil Taussig,52
Mr. William Harrison,40
Miss. Delia Henry,21
Mr. David Reeves,36
Mr. Ernesti Arvid Panula,16
Mr. Ernst Ulrik Persson,25
Mrs. William Thompson (Edith Junkins) Graham,58
Miss. Amelia Bissette,35
Mr. Alexander Cairns,28
Mr. William Henry Tornquist,25
Mrs. (Elizabeth Anne Maidment) Mellinger,41
Mr. Charles H Natsch,37
Miss. Hanora Healy,33
Miss. Kornelia Theodosia Andrews,63
Miss. Augusta Charlotta Lindblom,45
Mr. Francis Parkes,21
Master. Eric Rice,7
Mrs. Stanton (Rosa Hunt) Abbott,35
Mr. Frank Duane,65
Mr. Nils Johan Goransson Olsson,28
Mr. Alfons de Pelsmaeker,16
Mr. Edward Arthur Dorking,19
Mr. Richard William Smith,57
Mr. Ivan Stankovic,33
Mr. Theodore de Mulder,30
Mr. Penko Naidenoff,22
Mr. Masabumi Hosono,42
Miss. Kate Connolly,22
Miss. Ellen Barber,26
Mrs. Dickinson H (Helen Walton) Bishop,19
Mr. Rene Jacques Levy,36
Miss. Aloisia Haas,24
Mr. Ivan Mineff,24
Mr. Ervin G Lewy,30
Mr. Mansour Hanna,23.5
Miss. Helen Loraine Allison,2
Mr. Adolphe Saalfeld,47
Mrs. James (Helene DeLaudeniere Chaput) Baxter,50
Miss. Anna Katherine Kelly,20
Mr. Bernard McCoy,24
Mr. William Cahoone Jr Johnson,19
Miss. Nora A Keane,46
Mr. Howard Hugh Williams,28
Master. Hudson Trevor Allison,0.92
Miss. Margaret Fleming,42
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,17
Mr. Samuel Abelson,30
Miss. Laura Mabel Francatelli,30
Miss. Margaret Bechstein Hays,24
Miss. Emily Borie Ryerson,18
Mrs. William (Anna Sylfven) Lahtinen,26
Mr. Ignjac Hendekovic,28
Mr. Benjamin Hart,43
Miss. Helmina Josefina Nilsson,26
Mrs. Sinai (Miriam Sternin) Kantor,24
Dr. Ernest Moraweck,54
Miss. Mary Natalie Wick,31
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,40
Mr. Samuel Dennis,22
Mr. Yoto Danoff,27
Miss. Hilda Mary Slayter,30
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,22
Mr. George John Jr Sage,20
Miss. Marie Grice Young,36
Mr. Johan Hansen Nysveen,61
Mrs. (Ada E Hall) Ball,36
Mrs. Frank John (Emily Alice Brown) Goldsmith,31
Miss. Jean Gertrude Hippach,16
Miss. Agnes McCoy,28
Mr. Austen Partner,45.5
Mr. George Edward Graham,38
Mr. Leo Edmondus Vander Planke,16
Mrs. Henry William (Clara Heinsheimer) Frauenthal,42
Mr. Mitto Denkoff,30
Mr. Thomas Clinton Pears,29
Miss. Elizabeth Margaret Burns,41
Mr. Karl Edwart Dahl,45
Mr. Stephen Weart Blackwell,45
Master. Edmond Roger Navratil,2
Miss. Alice Elizabeth Fortune,24
Mr. Erik Gustaf Collander,28
Mr. Charles Frederick Waddington Sedgwick,25
Mr. Stanley Hubert Fox,36
Miss. Amelia Brown,24
